Angle  Distance cm
0  47.64
2  51.71
4  160.95
6  163.37
8  155.41
10  141.49
12  143.24
14  145.92
16  140.81
18  151.05
20  140.39
22  151.95
24  141.73
26  153.87
28  149.66
30  165.60
32  155.79
34  150.86
36  140.31
38  55.64
40  55.38
42  53.75
44  53.05
46  52.33
48  51.89
50  51.89
52  51.31
54  51.31
56  51.28
58  50.83
60  50.82
62  51.24
64  50.83
66  50.84
68  50.85
70  50.82
72  50.80
74  50.83
76  50.82
78  50.82
80  50.82
82  51.26
84  51.73
86  51.86
88  51.87
90  52.26
92  52.74
94  52.39
96  53.09
98  53.43
100  55.67
102  55.35
104  148.01
106  143.47
108  165.74
110  145.50
112  162.08
114  151.13
116  49.29
118  49.22
120  48.77
122  47.83
124  47.73
126  47.70
128  47.26
130  46.80
132  47.16
134  47.15
136  46.76
138  46.70
140  47.12
142  46.69
144  46.68
146  46.71
148  47.08
150  46.70
152  47.17
154  46.77
156  47.64
158  47.65
160  47.26
162  47.75
164  48.71
166  48.72
168  50.08
170  51.04
172  81.61
174  86.80
176  84.68
178  89.83
180  97.86
